"","국가명","1","2","3","4","5","6","7","8","9","10","11","12"
"1","중국","2","2","2","1","3","3","1","1","3","3","2","2"
"2","일본","2","2","1","2","3","2","2","1","1","1","1","2"
"3","대만","2","2","2","2","2","1","1","1","3","1","2","2"
"4","홍콩","2","2","3","2","2","1","1","1","2","3","2","1"
"5","마카오","2","2","2","2","2","2","1","1","2","2","2","1"
"6","필리핀","2","2","1","3","2","3","2","2","2","1","1","1"
"7","인도네시아","2","2","2","1","3","2","2","2","2","1","3","1"
"8","태국","2","2","1","1","3","2","2","2","2","1","3","1"
"9","베트남","2","2","2","1","2","1","3","3","2","1","3","2"
"10","인도","2","2","3","1","1","3","2","2","1","1","3","2"
"11","말레이시아","2","3","3","1","3","2","2","2","3","1","1","1"
"12","싱가포르","2","2","3","3","3","3","2","2","2","1","1","1"
"13","몽골","1","2","2","2","2","1","3","2","3","1","3","1"
"14","우즈베키스탄","2","2","2","2","3","3","1","1","3","1","1","2"
"15","미얀마","2","2","2","3","2","2","2","2","3","1","1","1"
"16","GCC","2","2","2","1","3","1","1","3","2","3","3","2"
"17","카자흐스탄","2","2","1","3","3","2","1","3","2","1","2","2"
"18","튀르키예","2","2","2","1","2","1","3","3","3","1","2","2"
"19","캄보디아","2","2","2","1","2","2","2","2","2","1","3","1"
"20","스리랑카","2","2","2","2","3","3","3","3","1","1","3","2"
"21","방글라데시","2","2","2","3","1","3","2","2","1","1","1","2"
"22","파키스탄","2","2","2","2","3","3","1","2","1","1","1","2"
"23","이스라엘","2","2","2","1","1","2","2","2","1","1","3","2"
"24","이란","2","2","1","2","3","3","2","1","1","2","2","2"
"25","아시아 기타","2","2","2","1","2","2","2","3","3","1","3","1"
"26","미국","2","2","3","1","3","1","3","2","2","1","2","2"
"27","캐나다","2","2","3","1","1","2","1","3","3","1","2","2"
"28","브라질","2","2","3","1","3","2","2","2","2","1","3","3"
"29","멕시코","2","2","2","2","2","2","2","1","1","1","1","3"
"30","미주 기타","2","2","3","1","3","2","3","2","1","1","3","2"
"31","러시아","2","2","3","1","3","2","1","3","3","1","2","2"
"32","영국","2","2","1","1","3","2","2","3","3","1","2","2"
"33","독일","2","2","1","1","3","2","2","3","1","1","2","2"
"34","프랑스","2","2","2","1","1","2","3","1","3","1","2","2"
"35","이탈리아","2","2","3","1","2","2","2","1","3","1","3","2"
"36","네덜란드","2","2","2","1","1","2","1","1","3","1","2","2"
"37","우크라이나","2","2","2","2","2","2","2","2","1","1","1","2"
"38","스페인","2","2","1","2","2","2","3","1","1","1","3","2"
"39","루마니아","2","2","1","1","3","2","2","3","1","1","2","2"
"40","노르웨이","2","2","1","3","2","1","1","2","3","3","2","2"
"41","스웨덴","2","2","3","1","2","1","3","2","3","1","2","2"
"42","폴란드","2","2","2","1","1","2","2","3","1","1","3","2"
"43","스위스","2","2","1","1","3","2","1","3","1","1","2","2"
"44","포르투갈","2","2","1","1","3","2","2","1","3","1","3","2"
"45","오스트리아","2","2","1","1","3","2","3","1","1","1","2","2"
"46","핀란드","2","2","1","1","1","1","2","2","3","1","2","2"
"47","벨기에","2","2","3","1","3","2","1","2","1","1","2","2"
"48","크로아티아","2","2","1","1","3","2","2","2","1","1","2","2"
"49","그리스","2","2","1","1","1","2","2","3","3","3","1","2"
"50","불가리아","2","2","1","1","3","2","2","2","1","1","2","2"
"51","덴마크","2","2","1","1","3","2","1","2","3","1","2","2"
"52","아일랜드","2","2","1","1","1","3","2","2","1","1","2","2"
"53","구주 기타","2","2","1","1","3","2","2","2","1","1","2","2"
"54","오스트레일리아","2","2","3","1","3","2","2","2","3","1","3","1"
"55","뉴질랜드","2","2","3","1","2","2","2","2","3","1","3","1"
"56","대양주 기타","2","2","2","2","3","2","1","2","3","1","1","2"
"57","남아프리카공화국","2","2","2","3","2","3","3","3","1","1","2","1"
"58","아프리카 기타","2","2","2","2","3","3","3","3","1","1","3","2"
